# lr = 0.1
[I 2024-05-14 18:02:41,688] A new study created in memory with name: no-name-8aaf104d-1304-43b8-bcc9-3c0eafe5c1c2
[I 2024-05-14 18:08:03,808] Trial 0 finished with value: 0.8705788600410843 and parameters: {'base_estimator': '64', 'n_estimators': 58, 'sub_sample_size': 0.31403393779479766, 'sub_feature_size': 0.5498912467938597, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.8705788600410843.
[I 2024-05-14 19:13:29,918] A new study created in memory with name: no-name-58f772c1-1bee-4817-be24-475435effcb7
[I 2024-05-14 19:15:55,375] Trial 0 finished with value: 0.8827376991313619 and parameters: {'base_estimator': '18', 'n_estimators': 95, 'sub_sample_size': 0.41155476416457537, 'sub_feature_size': 0.5064890954469192, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.8827376991313619.
[I 2024-05-14 19:16:15,276] Trial 1 finished with value: 0.8737431914567738 and parameters: {'base_estimator': '77', 'n_estimators': 19, 'sub_sample_size': 0.5716385041567824, 'sub_feature_size': 0.7845237785275986, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.8827376991313619.
[I 2024-05-14 19:16:49,059] Trial 2 finished with value: 0.8972803721987921 and parameters: {'base_estimator': '48', 'n_estimators': 18, 'sub_sample_size': 0.4934477464459371, 'sub_feature_size': 0.8408031822315618, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.8972803721987921.
[I 2024-05-14 19:19:14,210] Trial 3 finished with value: 0.8838310459810114 and parameters: {'base_estimator': '54', 'n_estimators': 68, 'sub_sample_size': 0.3824374091233165, 'sub_feature_size': 0.8179949483282529, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.8972803721987921.
[I 2024-05-14 19:19:45,252] Trial 4 finished with value: 0.884216476791719 and parameters: {'base_estimator': '81', 'n_estimators': 22, 'sub_sample_size': 0.6998464968611777, 'sub_feature_size': 0.8959907573955412, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.8972803721987921.
[I 2024-05-14 19:22:30,684] Trial 5 finished with value: 0.8711571584361342 and parameters: {'base_estimator': '72', 'n_estimators': 57, 'sub_sample_size': 0.46222796665833465, 'sub_feature_size': 0.5128890692702897, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.8972803721987921.
[I 2024-05-14 19:23:26,021] Trial 6 finished with value: 0.8828799338166041 and parameters: {'base_estimator': '58', 'n_estimators': 55, 'sub_sample_size': 0.46812241604005767, 'sub_feature_size': 0.7394943148910085, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.8972803721987921.
[I 2024-05-14 19:27:29,050] Trial 7 finished with value: 0.8943945666993466 and parameters: {'base_estimator': '86', 'n_estimators': 88, 'sub_sample_size': 0.5547226370792526, 'sub_feature_size': 0.7246469606126613, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.8972803721987921.
[I 2024-05-14 19:28:12,694] Trial 8 finished with value: 0.8672776353361233 and parameters: {'base_estimator': '19', 'n_estimators': 65, 'sub_sample_size': 0.6520732826720412, 'sub_feature_size': 0.5819336270867174, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.8972803721987921.
[I 2024-05-14 19:30:46,006] Trial 9 finished with value: 0.8692906904685513 and parameters: {'base_estimator': '76', 'n_estimators': 57, 'sub_sample_size': 0.59821419775966, 'sub_feature_size': 0.7346818890960987, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.8972803721987921.
# lr = 0.7
[I 2024-05-14 19:58:54,584] A new study created in memory with name: no-name-58c804de-b260-4653-8079-da09d8e09f6b
[I 2024-05-14 20:02:22,031] Trial 0 finished with value: 0.9060671280795528 and parameters: {'base_estimator': '50', 'n_estimators': 77, 'sub_sample_size': 0.6478847248498303, 'sub_feature_size': 0.7928314564967565, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:06:15,397] Trial 1 finished with value: 0.8997556851363282 and parameters: {'base_estimator': '70', 'n_estimators': 32, 'sub_sample_size': 0.5845017503913094, 'sub_feature_size': 0.5189028902372113, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:09:06,030] Trial 2 finished with value: 0.8880041671995689 and parameters: {'base_estimator': '6', 'n_estimators': 79, 'sub_sample_size': 0.3345454763903298, 'sub_feature_size': 0.8816705665203168, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:14:42,052] Trial 3 finished with value: 0.8920838726450403 and parameters: {'base_estimator': '29', 'n_estimators': 95, 'sub_sample_size': 0.4580670426946463, 'sub_feature_size': 0.7589992916132904, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:16:01,361] Trial 4 finished with value: 0.8876905408924745 and parameters: {'base_estimator': '3', 'n_estimators': 77, 'sub_sample_size': 0.6621442546773941, 'sub_feature_size': 0.7321899304950383, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:16:45,457] Trial 5 finished with value: 0.8573672945578698 and parameters: {'base_estimator': '34', 'n_estimators': 14, 'sub_sample_size': 0.3654230878488154, 'sub_feature_size': 0.7163560994758518, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:20:04,444] Trial 6 finished with value: 0.8976067445347944 and parameters: {'base_estimator': '18', 'n_estimators': 81, 'sub_sample_size': 0.5907232513399516, 'sub_feature_size': 0.8000103869887594, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:25:40,171] Trial 7 finished with value: 0.8826080219162852 and parameters: {'base_estimator': '67', 'n_estimators': 78, 'sub_sample_size': 0.3097189039065359, 'sub_feature_size': 0.8514424339708188, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:26:46,669] Trial 8 finished with value: 0.8952665249768877 and parameters: {'base_estimator': '6', 'n_estimators': 46, 'sub_sample_size': 0.62745762528797, 'sub_feature_size': 0.7418401000295756, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
[I 2024-05-14 20:29:25,061] Trial 9 finished with value: 0.8934282346922163 and parameters: {'base_estimator': '10', 'n_estimators': 81, 'sub_sample_size': 0.5538001984509742, 'sub_feature_size': 0.7976934374920961, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.9060671280795528.
# lr = 0.9
[I 2024-05-14 22:13:02,020] A new study created in memory with name: no-name-8ac51c26-15df-48e3-8db5-1334998b15e7
[I 2024-05-14 22:13:30,940] Trial 0 finished with value: 0.870729441545554 and parameters: {'base_estimator': '27', 'n_estimators': 20, 'sub_sample_size': 0.5035845495028275, 'sub_feature_size': 0.5209633191296328, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.870729441545554.
[I 2024-05-14 22:14:14,182] Trial 1 finished with value: 0.8889251814747244 and parameters: {'base_estimator': '6', 'n_estimators': 46, 'sub_sample_size': 0.5728756973853488, 'sub_feature_size': 0.7820019079612102, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8889251814747244.
[I 2024-05-14 22:15:52,752] Trial 2 finished with value: 0.9035150255967184 and parameters: {'base_estimator': '87', 'n_estimators': 41, 'sub_sample_size': 0.5568408196005796, 'sub_feature_size': 0.8861107553561733, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9035150255967184.
[I 2024-05-14 22:18:50,070] Trial 3 finished with value: 0.8892806971758622 and parameters: {'base_estimator': '36', 'n_estimators': 96, 'sub_sample_size': 0.5621366806395083, 'sub_feature_size': 0.7026135505348232, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9035150255967184.
[I 2024-05-14 22:19:45,412] Trial 4 finished with value: 0.9003388227189647 and parameters: {'base_estimator': '53', 'n_estimators': 26, 'sub_sample_size': 0.6908696883767248, 'sub_feature_size': 0.7896527933449229, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9035150255967184.
[I 2024-05-14 22:21:15,364] Trial 5 finished with value: 0.8794056650252751 and parameters: {'base_estimator': '61', 'n_estimators': 73, 'sub_sample_size': 0.5245571327873695, 'sub_feature_size': 0.6780393116743322, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9035150255967184.
[I 2024-05-14 22:24:08,777] Trial 6 finished with value: 0.8985547468706531 and parameters: {'base_estimator': '66', 'n_estimators': 85, 'sub_sample_size': 0.6636671340035314, 'sub_feature_size': 0.6585558919315944, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9035150255967184.
[I 2024-05-14 22:26:21,490] Trial 7 finished with value: 0.89306214752199 and parameters: {'base_estimator': '63', 'n_estimators': 92, 'sub_sample_size': 0.6940802451738608, 'sub_feature_size': 0.7255357334210529, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9035150255967184.
[I 2024-05-14 22:27:28,175] Trial 8 finished with value: 0.9026441111895901 and parameters: {'base_estimator': '7', 'n_estimators': 58, 'sub_sample_size': 0.6475454622390452, 'sub_feature_size': 0.6437908434902597, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9035150255967184.
[I 2024-05-14 22:29:04,502] Trial 9 finished with value: 0.8956292632834408 and parameters: {'base_estimator': '8', 'n_estimators': 74, 'sub_sample_size': 0.6115681347055986, 'sub_feature_size': 0.7478938913699629, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9035150255967184.
# lr = 1.0
[I 2024-05-14 21:19:40,217] A new study created in memory with name: no-name-ad460682-e736-4948-b6e0-cdf447867da6
[I 2024-05-14 21:22:50,536] Trial 0 finished with value: 0.88780768000789 and parameters: {'base_estimator': '69', 'n_estimators': 68, 'sub_sample_size': 0.41437282522567287, 'sub_feature_size': 0.9241889903370342, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.88780768000789.
[I 2024-05-14 21:27:24,901] Trial 1 finished with value: 0.9015339466015462 and parameters: {'base_estimator': '65', 'n_estimators': 92, 'sub_sample_size': 0.604056643996995, 'sub_feature_size': 0.5276397193376956, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.9015339466015462.
[I 2024-05-14 21:36:20,494] Trial 2 finished with value: 0.9104552878052772 and parameters: {'base_estimator': '91', 'n_estimators': 100, 'sub_sample_size': 0.674140153195861, 'sub_feature_size': 0.5822353932534229, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9104552878052772.
[I 2024-05-14 21:40:34,194] Trial 3 finished with value: 0.8972006010786999 and parameters: {'base_estimator': '46', 'n_estimators': 80, 'sub_sample_size': 0.46835197172267146, 'sub_feature_size': 0.889300651613111, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9104552878052772.
[I 2024-05-14 21:42:01,955] Trial 4 finished with value: 0.8943313245173237 and parameters: {'base_estimator': '16', 'n_estimators': 29, 'sub_sample_size': 0.5100767244025204, 'sub_feature_size': 0.9907988006309714, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9104552878052772.
[I 2024-05-14 21:42:22,025] Trial 5 finished with value: 0.864359852925401 and parameters: {'base_estimator': '2', 'n_estimators': 25, 'sub_sample_size': 0.588306792624219, 'sub_feature_size': 0.935395314103677, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9104552878052772.
[I 2024-05-14 21:42:51,345] Trial 6 finished with value: 0.9041636701710689 and parameters: {'base_estimator': '23', 'n_estimators': 17, 'sub_sample_size': 0.47790220864165345, 'sub_feature_size': 0.8662908519870138, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9104552878052772.
[I 2024-05-14 21:45:55,735] Trial 7 finished with value: 0.8973649050259513 and parameters: {'base_estimator': '10', 'n_estimators': 80, 'sub_sample_size': 0.520437549672235, 'sub_feature_size': 0.8913242261514407, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9104552878052772.
[I 2024-05-14 21:48:38,297] Trial 8 finished with value: 0.894040788052263 and parameters: {'base_estimator': '6', 'n_estimators': 66, 'sub_sample_size': 0.6577470758541365, 'sub_feature_size': 0.9964147128572067, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9104552878052772.
[I 2024-05-14 21:49:43,532] Trial 9 finished with value: 0.8835349021335113 and parameters: {'base_estimator': '13', 'n_estimators': 41, 'sub_sample_size': 0.521225102456734, 'sub_feature_size': 0.5346391100769805, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 2 with value: 0.9104552878052772.
